,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,300088.SZ,20190429,20190331,0.0741,0.0721,0.7209,0.7209,0.1964,0.1065,0.9698,5142496.5,165250206.55,347759393.64,1.4531,1.3389,1.2871,1.0986,0.3408,0.5239,0.1686,209902561.75,246762365.41,,113235027.2287,1322751498.8587,1503901567.8,100986378.79,3465056272.21,664334909.39,4672084609.74,1663990559.66,1032203381.03,8735738059.54,2474259475.12,0.0741,2.2715,0.1449,1.0763,0.5911,0.1073,0.0493,0.5754,10.4775,20.9835,79.0165,9.0754,10.4775,1.0012,6.0126,2.0616,-1.0585,87.3347,12.8917,14.8894,3.3813,3.45,3.2792,2.5096,1.766,2.5041,13.5252,10.0384,49.0294,1.9619,1.9512,51.6103,48.3897,45.1818,39.6653,59.7763,72.4433,27.5567,0.0907,0.9619,1.03,1.507,0.9215,1.3483,7.0327,0.0657,114.582,7.064,1.7329,3552757660.31,12.8278,1.0012,87.3347,3.3813,3.2792,1.766,20.0998,20.0972,16.8558,27.2169,28.0106,27.2816,20.1891,22.95,27.1812,3.599,7.5215,10.8966,7.5201,-4.1451,-4.1451,-4.1451,127.323,16.0137
1,300088.SZ,20190426,20181231,0.31,0.31,4.1824,4.1824,0.1112,0.1065,0.8957,300875312.95,411146120.5,1448482909.6,1.0893,0.9574,0.9093,6.6006,2.6731,3.3324,1.1437,552094498.64,974501192.32,1295253273.08,208630598.3644,915060412.2344,1863061233.62,99386441.39,2459886735.81,1017972134.84,4321359615.64,359566953.01,1083115650.61,7362117310.8,2303866772.07,0.3097,2.1126,0.3278,1.0022,0.2722,0.4239,0.0908,0.398,7.5485,15.065,84.935,5.5098,7.5485,0.9973,3.0538,1.4587,3.5166,94.2579,8.7289,10.1353,15.4521,15.54,8.9226,11.5923,8.6336,12.0733,15.4521,11.5923,47.4267,1.9021,1.8243,47.0595,52.9405,46.3438,33.4128,65.9685,91.095,8.905,0.187,0.9021,1.0982,1.9743,0.9772,1.7567,4.2451,0.1704,78.7539,8.6336,8.4699,3493272648.78,9.0656,0.7446,106.2654,2.1667,-3.564,1.1707,32.1708,29.1667,29.1667,26.8576,32.9002,33.1293,30.7897,-19.34,26.8448,17.3921,11.4123,24.5209,11.4127,-11.6635,-11.6635,17.2558,-69.3173,11.4127
2,300088.SZ,20181029,20180930,0.2645,0.2645,3.1016,3.1016,0.1046,0.0817,0.8753,26011632.89,582087251.5,1116214241.03,1.0139,0.8112,0.7612,5.3136,2.1471,2.5797,0.8662,707769585.55,850487502.49,,-96632413.0721,939227883.4179,1453454567.99,84114408.22,2642533273.71,1484892651.76,4243698504.24,52693183.08,1224870547.6,7437620152.79,2199944223.01,0.2645,2.0601,-0.02,0.957,0.1418,0.37,-0.042,0.4086,8.6767,15.6548,84.3452,5.3704,8.6767,1.0854,2.8149,1.4701,0.0686,90.0736,10.4526,11.928,13.3719,13.33,12.8,10.3318,7.5156,10.4405,17.8292,13.7757,46.574,1.8717,1.8101,42.7397,57.2603,47.2826,35.5293,63.6759,90.5067,9.4933,-0.0121,0.8717,1.133,1.7922,1.0152,1.6059,2.8579,-0.011,80.7637,10.0208,7.3872,3362647397.97,10.4579,1.0691,89.0267,5.287,5.2084,2.7599,0.431,32.9146,32.9146,-107.4766,37.076,36.3025,32.9302,36.5,-107.4602,19.4907,8.6436,19.8553,8.6438,-18.6548,-18.6548,31.9146,12.5904,11.2473
3,300088.SZ,20180803,20180630,0.1584,0.1584,1.9031,1.9031,0.1046,0.0817,0.7692,22383903.18,341768405.16,640529353.91,0.9738,0.8285,0.7985,3.2328,1.2716,1.6011,0.5285,405443673.42,489765574.73,670332355.02,257816693.1202,1505054136.9702,1658771702.43,85088331.12,2789786805.23,1197813486.96,3999114384.71,-109686184.03,824407802.93,7322803841.29,1955997646.96,0.1584,1.9541,-0.0251,0.8508,0.2387,0.213,0.1121,0.6547,8.45,14.6405,85.3595,5.0143,8.45,1.0957,2.6155,1.303,0.1034,90.7328,10.0334,11.1945,8.2282,8.26,7.7224,5.9168,4.4663,6.1496,16.4564,11.8336,50.0035,2.0001,1.8703,44.9466,55.0534,44.1079,38.0972,61.3445,92.3062,7.6938,-0.0138,1.0001,0.9908,1.6102,0.8821,1.4335,3.3387,-0.0127,84.0021,8.9326,4.3993,3234741751.37,10.0427,1.1526,90.4098,4.9455,4.6115,2.5797,-12.0809,21.5656,21.5656,-123.1123,20.3942,19.82,21.553,24.26,-146.2832,10.9097,3.0535,21.0769,3.0501,-34.4734,-34.4734,-22.6218,63.0077,9.5964
4,300088.SZ,20180424,20180331,0.0617,0.0617,0.7521,0.7521,0.1046,0.0817,0.7724,7365968.47,134404573.91,244429958.46,1.0497,0.8754,0.8094,1.5191,0.5244,0.6512,0.2161,151678784.37,193851972.73,,-329720562.5616,682088104.9284,1244773829.21,85298592.11,2642835696.87,1126286068.59,4009546515.21,179553562.41,1027553831.0,7179794616.43,1963503862.4,0.0617,1.958,0.1139,0.8541,0.3799,0.0843,-0.1434,0.2967,8.2701,14.1373,85.8627,5.7775,8.2701,1.0086,3.2175,1.5515,-0.6787,91.2272,9.6534,11.212,3.2001,3.2,3.0339,2.4234,1.7875,2.5031,12.8004,9.6936,46.6859,1.8757,1.8056,44.5233,55.4767,47.1164,36.8093,62.6914,90.8484,9.1516,0.0726,0.8757,1.133,1.7031,1.0092,1.5171,3.56,0.0659,95.5125,7.15,1.7723,3029972296.4,9.6605,1.0086,91.2272,3.2001,3.0339,1.7875,15.1489,35.0109,35.0109,-34.2379,30.3634,27.2543,34.92,30.84,31.599,15.6088,3.2591,13.6414,3.256,-46.9166,-46.9166,-46.9166,90.2738,16.7039
5,300088.SZ,20180420,20171231,0.24,0.24,4.7346,4.7346,0.1046,0.0817,0.7108,34662890.34,509739028.79,1086612925.08,0.9874,0.7878,0.7202,9.6859,3.5858,4.4857,1.4785,568115077.02,726667950.43,982903496.64,-496960036.8151,-422848430.8951,1321748889.01,87033390.61,1685054803.6,1041893900.1,3865527158.53,-35906955.92,840886944.18,6079568849.47,1821733320.02,0.2368,1.8962,0.2584,0.7924,-0.06,0.3161,-0.2162,-0.1839,5.0345,9.9832,90.0168,3.7195,5.0345,0.7229,2.2575,0.7391,0.6816,94.7805,5.802,6.6763,13.426,13.29,12.5711,9.871,7.4437,10.6154,13.426,9.871,41.3153,1.704,1.8155,37.4688,62.5312,51.6205,27.7167,71.702,91.8505,8.1495,0.209,0.704,1.409,2.587,1.2494,2.294,3.7101,0.192,65.0474,7.4437,7.3951,2972490747.15,6.0154,0.5063,96.0199,2.0181,1.9338,1.1647,-0.9884,41.1765,41.1765,14.1343,51.3319,46.0117,41.9296,47.23,128.2694,25.5736,-41.8861,2.0043,13.0251,27.4269,27.4269,-41.3481,-51.0217,13.0251
6,300088.SZ,20171025,20170930,0.199,0.199,3.8129,3.8129,0.0978,0.0609,0.6937,31028838.28,426428499.05,808271274.44,1.0315,0.8212,0.7618,8.1289,2.7612,3.9197,1.1796,483774196.13,598407939.77,,-444303197.206,-152224680.416,1336676228.4,84298453.16,1918255862.37,877049458.94,3772115555.29,94148665.37,706098124.31,6206291146.82,1734788738.22,0.199,1.8518,0.2675,0.7546,0.1248,0.2603,-0.1933,-0.0662,5.2474,9.2212,90.7788,3.3164,5.2474,0.7753,1.9554,0.5857,0.0617,94.4808,6.2039,6.827,11.4255,11.27,10.6505,8.0528,6.1895,8.6855,15.234,10.7371,43.7802,1.7787,1.856,40.4336,59.5664,49.4557,30.9082,68.5942,89.5366,10.4634,0.2057,0.7787,1.2749,2.2193,1.1296,1.9664,4.3009,0.1842,60.0069,8.2527,6.156,2721389222.25,6.2413,1.113,92.6572,3.7787,3.6236,2.1172,23.4697,99.7992,99.7992,23.6137,95.538,84.9342,98.699,97.28,147.2726,69.7794,-43.2468,3.8966,10.3799,77.8408,77.8408,8.1267,-24.3155,17.0336
