,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,000001.SZ,20190808,20190630,0.85,0.78,3.9504,3.9504,3.2886,0.6279,6.2362,87000000.0,15316000000.0,,,,,,,,0.0194,14277000000.0,,,43536199570.0645,,,,,,,,,,117857000000.0,0.8971,13.5658,1.54,6.8641,-0.0129,,,,22.7086,,,,22.7086,,29.4579,,,,29.5405,,6.2028,6.32,6.1678,,0.4395,,12.4056,,92.8538,13.9935,14.1134,,,,,,,,,12.9935,0.077,,,,,0.0079,,0.879,0.4395,10775000000.0,29.4903,,,3.1355,3.1107,0.2235,-75.6711,16.4384,6.8493,258.1,15.1419,15.1782,15.1885,14.9,254.554,2.4119,7.5,5.0364,6.8992,18.4972,18.4972,21.0098,7.2722,12.4756
1,000001.SZ,20190424,20190331,0.38,0.36,1.8914,1.8914,3.2886,0.6279,5.9178,24000000.0,7422000000.0,,,,,,,,0.0093,7542000000.0,,,,,,,,,,,,,112390000000.0,0.4337,13.2359,3.1,6.5457,2.2808,,,,22.9277,,,,22.9277,,29.6219,,,,29.7666,,3.0331,2.91,3.0233,,0.2143,,12.1324,,92.8916,14.0679,14.1529,,,,,,,,,13.0679,0.0765,,,,,0.0162,,0.8572,0.2143,10821000000.0,29.7789,,,3.0331,3.0233,0.2143,163.764,15.1515,9.0909,28.6,12.6165,12.8867,12.9037,13.2,28.3336,0.5096,5.0,3.2642,4.5392,15.8781,15.8781,15.8781,69.8647,12.3313
2,000001.SZ,20190307,20181231,1.39,1.39,6.7977,6.7977,3.2886,0.6279,5.5351,118000000.0,24700000000.0,,,,,,,,0.035,21801000000.0,,,169804843380.596,,,,,,,,,,105818000000.0,1.4454,12.8182,-3.34,6.163,1.443,,,,21.2636,,,,21.2636,,30.3223,,,,27.6783,,10.7415,11.49,10.6904,,0.7445,,10.7415,,92.9783,14.2416,14.4279,,,,,,,,,13.2416,0.0755,,,,,-0.018,,0.7445,0.7445,11093000000.0,27.6149,,,1.8356,1.8318,0.1289,-153.1113,6.9231,6.9231,51.7341,6.8888,6.8773,7.0249,6.6,51.7402,-0.9952,8.9,5.2369,8.1007,10.3322,10.3322,15.7895,-38.2219,8.1007
3,000001.SZ,20181024,20180930,1.14,1.14,5.0474,5.0474,3.2886,0.6279,5.3566,109000000.0,20347000000.0,,,,,,,,0.0263,18328000000.0,,,,,,,,,,,,,102754000000.0,1.1914,12.538,-0.66,5.9845,1.6066,,,,23.6038,,,,23.6038,,29.5174,,0.0635,,30.7094,,8.9467,9.48,8.899,,0.6198,,11.9289,,92.9825,14.2501,14.4342,,,,,,,,,13.2501,0.0755,,,,,-0.0036,,0.8264,0.6198,9568000000.0,30.654,,,3.0576,3.0304,0.2109,-63.7766,7.5472,7.5472,92.8261,6.4603,6.5239,6.8031,6.4,92.8412,-0.97,6.5,3.1886,5.9341,8.558,8.558,14.2064,4.4681,7.8492
4,000001.SZ,20180816,20180630,0.73,0.73,3.3338,3.3338,3.2886,0.6279,4.944,46000000.0,13326000000.0,,,,,,,,0.0173,15645000000.0,,,48780651292.6815,,,,,,,,,,95670000000.0,0.7788,12.1251,0.43,5.5719,4.8854,,,,23.3609,,,,23.3609,,29.6641,,0.1083,,30.4013,,5.9405,6.13,5.9201,,0.4042,,11.881,,93.225,14.7601,14.6956,,,,,,,,,13.7602,0.0727,,,,,0.0024,,0.8084,0.4042,8730000000.0,30.3401,,,3.0018,2.9991,0.2021,-116.3341,7.3529,7.3529,105.7564,5.6973,5.6901,6.5159,6.5,105.816,-1.2751,3.1,3.6609,2.7412,5.8666,5.8666,10.9023,2.726,7.8916
5,000001.SZ,20180420,20180331,0.33,0.33,1.6323,1.6323,3.2886,0.6279,4.6852,40000000.0,6555000000.0,,,,,,,,0.0085,7915000000.0,,,,,,,,,,,,,91226000000.0,0.3841,11.8485,2.41,5.3131,3.1371,,,,23.5317,,,,23.5317,,30.3647,,38.0754,,30.6287,,2.9611,2.79,2.9431,,0.2002,,11.8444,,93.3088,14.945,14.7876,,,,,,,,,13.945,0.0717,,,,,0.0133,,0.8008,0.2002,8076000000.0,30.568,,,2.9611,2.9431,0.2002,147.8698,6.4516,6.4516,135.9701,4.1495,4.0948,6.1313,5.5,136.034,-1.3048,0.7,2.7735,0.6021,1.082,1.082,1.082,64.35,7.5345
6,000001.SZ,20180315,20171231,1.3,1.3,6.1611,6.1611,3.2886,0.6279,4.6395,27000000.0,23162000000.0,,,,,,,,0.0341,29306000000.0,,,216217608482.276,,,,,,,,,,90442000000.0,1.3506,11.7706,-6.92,5.2674,-5.6139,,,,21.9207,,,,21.9207,,29.8868,,40.5772,,28.5699,,10.9324,11.62,10.9197,,0.7478,,10.9324,,93.1644,14.6293,14.6194,,,,,,,,,13.6292,0.0734,,,,,-0.0392,,0.7478,0.7478,8245000000.0,28.5076,,,1.8339,1.832,0.1264,151.0692,-1.5152,-1.5152,-1181.25,1.491,0.7416,2.6107,2.46,-1180.8991,-6.5772,10.91,9.9897,9.8347,-1.7908,-1.7908,0.8001,-38.7834,9.8347
7,000001.SZ,20171021,20170930,1.06,1.06,4.6496,4.6496,3.2886,0.6279,4.6423,23000000.0,19130000000.0,,,,,,,,0.0262,23940000000.0,,,,,,,,,,,,,90490000000.0,1.1155,11.5409,-9.2,5.2702,-6.2592,,,,23.9913,,,,23.9913,,26.6406,,41.1108,,31.3154,,9.1144,9.6,9.1034,,0.6289,,12.1525,,93.0482,14.3848,14.4924,,,,,,,,,13.3848,0.0747,,,,,-0.0541,,0.8385,0.6289,8095000000.0,31.239,,,3.0724,3.0813,0.2119,-115.7104,-2.7523,-2.7523,-3.2548,1.8537,1.5432,2.3185,2.26,-3.2986,-7.0089,8.77,6.2316,7.8844,-2.6047,-2.6047,-5.2906,3.5437,10.0304
