ts_code,ann_date,end_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
603345.SH,2019-08-06,2019-06-30,1.3509,0.6874,0.6384,1.5019999999999998,24.8564,0.9204,7.0725,25.4764,7.2416,42.6619,17.7275,14.5456,-3.917,19.9309,19.9309,25.067,13.0725,25.067,13.0725,17.3143,49.1294,13.8493,54.6117,2335519064.59
000897.SZ,2019-08-31,2019-06-30,1.1769,0.1702,0.1027,0.0124,1.3984,0.0145,-25.984,29.4128,-2.015,82.4242,6.8136,6.4507,-3.4477,40.7014,40.7014,103.02,96.6362,103.02,96.6362,74.589,79.4902,60.2537,71.8753,95424170.68
600273.SH,2019-08-27,2019-06-30,1.9404,1.5749,1.3101,4.2699,6.0614,1.0626,23.8217,35.2474,9.8935,17.5251,14.4176,12.6937,-1.2244,-2.8135,-2.8135,-8.9704,-7.018,-8.9704,-7.018,9.9123,-10.0393,8.4666,-8.0884,2742845923.27
600578.SH,2019-08-21,2019-06-30,0.6583,0.6013,0.5548,6.8999,3.6462,0.7548,9.5089,14.5212,2.9347,63.8089,241.738,217.4086,14.3376,26.6442,26.6442,23.1431,14.864,23.1431,14.864,84.2042,-41.7587,90.9065,-44.7366,8030750904.65
300096.SZ,2019-08-26,2019-06-30,1.7469,1.5291,1.3969999999999998,0.9242,0.3384,0.2009,-4.9953,52.499,-2.1557,57.078,-21.8425,-23.5066,0.4469,3.9567,3.9567,-3.9397,52.7714,-3.9397,52.7714,-178.12900000000005,98.0045,769.6504,149.0172,267484176.54
603117.SH,2019-08-31,2019-06-30,1.1852,1.1472,1.1,2.2192,1.7017,0.117,12.4707,44.098,2.0952,58.5884,-26.2553,-24.9107,-3.9386,5.7838,5.7838,0.0827,20.5459,0.0827,20.5459,-30.038,13.6585,-34.5485,7.6476,480832917.31
000011.SZ,2019-08-20,2019-06-30,2.3374,1.2358,1.1904,0.1533,10.5944,0.1182,9.9689,49.4342,3.1434,62.4708,17.6056,16.371,56.6927,-8.4391,-8.4391,31.6405,-4.2747,31.6405,-4.2747,-37.2398,-77.3587,-94.3882,-97.751,755390079.96
600419.SH,2019-08-24,2019-06-30,0.6801,0.4716,0.4395,3.8754,15.2422,1.9145,9.7124,27.4365,8.2269,41.8667,14.0324,8.8583,7.0879,13.5178,13.5178,11.7889,36.8402,11.7889,36.8402,15.1696,54.9421,12.5944,53.9211,823470988.4
002203.SZ,2019-08-29,2019-06-30,1.0528,0.7567,0.6712,5.4860000000000015,4.957,1.5491,3.1345,7.1927,7.8886,62.1281,10.5225,13.0813,18.8606,3.6132,3.6146,15.2912,46.9071,15.3583,46.9909,8.7274,24.7472,13.9506,14.9547,20844630103.4
002406.SZ,2019-08-26,2019-06-30,5.1353,4.3672,4.1043,2.5431,2.0497,0.5647,15.1767,30.8068,5.6838,13.2395,8.963,8.9477,4.8869,1.3898,1.3898,-16.0135,-0.0963,-16.0135,-0.0963,-12.2168,9.3958,-10.1939,19.1431,935075289.36
002217.SZ,2019-08-21,2019-06-30,1.2127,0.8854,0.7826,1.2274,0.9217,0.403,6.9734,17.9065,4.5223,58.5875,-33.0672,-32.0668,2.9146,-17.5741,-17.5741,-23.0866,13.7245,-23.0866,13.7245,-37.4983,24.3923,-33.0466,20.8467,7007917295.43
603040.SH,2019-08-20,2019-06-30,8.3791,7.523,3.8739,1.1389,3.5452,0.3164,37.0868,62.8345,8.0566,8.9469,13.3127,13.3751,2.2773,7.8675,7.8675,2.0963,-4.6203,2.0963,-4.6203,16.8953,7.2746,17.4135,4.9672,155668774.82
603976.SH,2019-08-23,2019-06-30,4.4685,3.6385,3.0801,1.4368,2.049,0.3562,11.9317,29.9414,3.2071,15.0425,-29.9866,-30.4549,5.2125,-14.8337,-14.8337,-36.1837,-39.4231,-36.1837,-39.4231,-64.4666,-61.328,-66.9278,-63.0522,267968567.15
002269.SZ,2019-08-24,2019-06-30,1.0018,0.4762,0.398,0.6796,2.3676,0.6437,-5.109,44.337,-4.9124,59.0343,-408.1171,-410.006,-7.3461,-31.4651,-31.4651,-44.8142,-43.7762,-44.8142,-43.7762,-32819.1557,-467.0705,-6608.6483,-559.5756,2698944804.0
002551.SZ,2019-08-27,2019-06-30,2.4821,2.2192,1.8721,2.1819,0.7240000000000001,0.334,8.7892,25.2707,2.327,41.6924,-40.913,-41.813,17.5753,-25.7518,-25.7518,-22.4464,25.3926,-22.4464,25.3926,-37.3572,-4.8219,-25.0996,-3.8491,795794333.94
002268.SZ,2019-08-24,2019-06-30,3.1941,2.8802,2.7329,1.2873,0.3468,0.1502,-13.5942,28.7899,-1.892,22.0456,5.4981,7.4375,-10.1056,2.2423,2.2423,-1.6077,170.6571,-1.6077,170.6571,-92.9109,83.4249,49.8779,94.9708,611605859.47
600733.SH,2019-08-27,2019-06-30,1.3883,1.2823,1.1021,4.8789,0.4936,0.2695,0.9103,9.4717,0.5661,66.6083,26.0661,34.0559,20.1188,76.6335,76.6335,76.9143,117.1936,76.9143,117.1936,-77.1474,193.6767,-80.7096,90.6031,9919098676.94
600217.SH,2019-08-20,2019-06-30,1.8963,1.8189,1.7505,5.9615,0.5168,0.3828,14.1211,32.9655,14.2733,67.6201,16.7122,15.859000000000002,9.4012,8.4667,8.4667,1.5798,31.1107,1.5798,31.1107,13.3991,51.0494,16.7191,49.907,1564517637.46
600082.SH,2019-08-29,2019-06-30,2.9677,0.17800000000000002,0.1314,0.1126,397.6223,0.1342,4.3468,25.7514,1.0849,43.3946,274.1619,62.3688,-14.297,8.4357,8.4357,-56.6095,-42.604,-56.6095,-42.604,67.4793,9.5073,878.4693,14.0672,425558628.5
603527.SH,2019-08-26,2019-06-30,3.4597,2.6479,2.4834,6.9865,6.9577,1.7193,2.8485,6.1771,5.0879,24.15,-5.9083,-0.3581,5.2839,-1.5332,-1.5332,-0.3841,11.0067,-0.3841,11.0067,30.5,162.0894,43.9542,133.9951,1559860357.35
603599.SH,2019-08-28,2019-06-30,3.3219,2.9517,1.3499,2.3008,5.362,0.4053,15.2313,30.9628,5.4406,21.7287,14.0136,11.6202,4.5858,9.7015,9.7015,2.265,-10.0116,2.265,-10.0116,9.6695,-7.4617,1.8778,-9.5282,1691029954.55
601899.SH,2019-08-30,2019-06-30,0.787,0.4464,0.3159,4.6574,81.2147,2.2268,3.3322,11.2445,4.5547,59.6677,-14.8796,-19.6073,3.2802,34.8989,34.8989,41.5808,31.384,41.5808,31.384,-14.7159,14.7478,-29.3626,13.2775,67198395835.0
603116.SH,2019-08-28,2019-06-30,3.7789,2.9889,1.6279,1.3562,2.3309,0.4447,7.3316,32.3493,3.1261,19.4584,-32.2336,-28.8298,-7.9436,-1.1806,-1.1806,1.9374,-16.7852,1.9374,-16.7852,-53.4697,-63.0097,-46.0893,-50.8833,1473451595.09
000761.SZ,2019-08-29,2019-06-30,1.0241,0.6819,0.6372,1.949,38.435,0.6977,1.8792,8.443,2.3524,67.538,-31.2404,-37.7741,3.0041,2.8213,2.8213,4.5906,4.9333,4.5906,4.9333,-42.6745,-20.0026,-55.3414,-33.0024,24102595167.14
002777.SZ,2019-08-26,2019-06-30,2.4709,1.922,1.5984,0.4477,1.5228,0.2179,18.8892,57.1367,6.0178,39.4321,33.547,28.393,-4.1762,15.1417,15.1417,23.0516,69.9028,23.0516,69.9028,27.302,234.8369,21.1698,254.4255,340771740.51
002154.SZ,2019-08-24,2019-06-30,1.3509,0.7029,0.5211,0.6393,3.6461,0.7983,7.4732,62.2901,4.0992,33.5623,137.3598,112.7766,-0.0406,1.214,1.214,-2.5463,-14.5463,-2.5463,-14.5463,167.0572,-76.4631,254.7858,-79.9076,1429691527.49
600008.SH,2019-08-30,2019-06-30,0.8202,0.7527,0.5956,4.0593,1.872,0.4173,6.9816,32.6949,1.8402,67.0697,44.5557,45.2504,4.6935,25.5225,25.5225,34.0256,34.8146,34.0256,34.8146,74.8647,148.2467,86.8277,153.3335,5748271702.29
600479.SH,2019-08-28,2019-06-30,2.4964,2.031,1.9489,2.0225,6.1822,0.6473,6.1227,44.3276,4.2416,32.2652,32.703,31.3149,1.2527,13.6065,13.6065,11.1265,10.3865,11.1265,10.3865,35.4154,-12.2207,27.7013,-12.8666,1691640822.85
300709.SZ,2019-08-23,2019-06-30,1.8792,1.4454,1.2297,1.6725,1.4357,0.5413,8.9529,40.7468,3.7913,31.8619,916.7954,612.1021,17.1475,84.705,84.705,147.3072,125.4461,147.3072,125.4461,534.6974,1667.9283,482.4298,3437.1716,546959009.47
300743.SZ,2019-08-27,2019-06-30,2.9852,2.1926,1.4095,1.6845,2.2840000000000003,0.5731,7.3221,29.1034,3.6514,23.6835,-26.1069,-26.2335,3.4562,-4.4995,-4.4995,-4.6506,15.5215,-4.6506,15.5215,-21.0396,3.4099,-22.0264,2.737,191208388.53
300664.SZ,2019-08-30,2019-06-30,1.3826,1.2667,0.9488,2.7757,0.8744,0.3171,17.9245,36.6638,3.9072,40.5738,8.7953,13.3569,0.13699999999999998,68.0825,68.0825,61.6575,18.5419,61.6575,18.5419,13.0611,29.8791,31.8146,51.2174,675316877.98
002759.SZ,2019-08-21,2019-06-30,2.859,2.4963,2.2487,1.4895,2.321,0.2715,80.3369,26.8112,8.5421,13.0074,748.1749,747.5553,6.7695,-6.8111,-6.8111,-18.3327,-0.7077,-18.3327,-0.7077,717.4162,113.4701,864.6466,115.8085,378675139.27
002111.SZ,2019-08-30,2019-06-30,1.6791,1.0166,0.8973,0.5689,0.8492,0.3146,11.7806,28.5261,4.1461,42.2916,-8.4391,-7.017,5.0073,-3.1919,-3.1919,0.2792,75.6004,0.2792,75.6004,-21.7767,1.9819,-25.0971,-2.8776,966414252.69
000860.SZ,2019-08-24,2019-06-30,1.5917,0.7764,0.7327,0.6556,89.0489,0.5437,7.7465,36.8173,8.6515,63.8434,40.0352,40.3914,1.6223,16.363,16.363,11.9933,-23.3853,11.9933,-23.3853,96.815,-50.2672,96.6005,-47.9229,8416038682.73
300399.SZ,2019-08-30,2019-06-30,16.8027,16.7623,16.4019,251.7176,4.6761,0.6192,-3.7573,17.5951,-2.7289,16.6881,358.2251,40.8134,-1.4146,71.1374,71.1374,77.9695,8.7328,77.9695,8.7328,103.8685,-31.1265,-30.1244,-325.6141,276416965.71
002103.SZ,2019-08-30,2019-06-30,1.6008,1.3032,1.1868,3.367,1.9653,0.6566,1.3654,17.4682,1.2353,42.0906,-67.006,-60.0523,-13.993,-8.3641,-8.3641,-4.3434,16.9519,-4.3434,16.9519,-105.9616,-111.3377,-104.2955,-109.5854,883086126.3
601988.SH,2019-08-31,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,43.8842,0.0,6.702000000000001,91.4334,7.6381,7.4647,4.6962,10.0562,10.0562,8.1853,-3.7828,8.1853,-3.7828,15.9896,29.9546,5.1458,21.658,276733000000.0
300225.SZ,2019-08-30,2019-06-30,4.3584,3.7062,3.0551,2.6215,1.0879,0.498,4.0649,23.59,1.8261,15.6828,347.1658,193.8849,-4.6579,0.1235,0.1235,-3.2002,5.3128,-3.2002,5.3128,275.2161,91.9707,476.61,136.6476,362390076.46
600292.SH,2019-08-30,2019-06-30,1.1149,0.9216,0.8312,2.4537,0.9,0.5082,2.3264,15.3542,0.7440000000000001,42.3485,4.9285,1.032,3.1449,26.9963,26.9963,18.6917,-4.3556,18.6917,-4.3556,-16.8547,-65.0952,-39.3595,-69.202,1891894572.04
000042.SZ,2019-08-16,2019-06-30,1.3327,0.4016,0.1402,0.0402,19.9996,0.0581,5.1665,53.7477,2.7515,83.1139,-78.7644,-78.5619,0.9649,-59.8186,-59.8186,-77.9685,-31.1174,-77.9685,-31.1174,-112.3079,-127.3742,-117.8837,-138.8209,2389802552.09
300297.SZ,2019-08-30,2019-06-30,1.3537,1.2704,0.9661,1.551,0.3338,0.1866,16.1728,54.6258,3.1028,49.0728,-1.8392,-1.8058,0.457,13.7233,13.7233,66.4163,26.7781,66.4163,26.7781,-11.6038,14.5038,-8.0954,22.9842,976505435.52
002526.SZ,2019-08-23,2019-06-30,3.0755,2.3903,1.88,1.4026,1.5332,0.4906,11.198,30.7248,4.5144,21.1163,41.658,36.3893,3.7559,4.0848,4.0848,-1.2187,19.5158,-1.2187,19.5158,56.2695,48.2936,56.1385,46.8261,1005007686.31
002385.SZ,2019-08-22,2019-06-30,1.228,0.8046,0.7413,2.9218,4.5092,1.1983,0.2205,17.6202,0.3417,37.8144,-48.1276,-50.8366,0.3921,-10.2633,-10.2633,-8.6613,0.6696,-8.6613,0.6696,253.0063,439.346,163.1197,232.9837,8142140653.71
603929.SH,2019-07-26,2019-06-30,2.4358,1.9465,1.4979,2.7674,1.3698,0.5468,5.7839,11.8061,5.2753,39.6374,-45.7349,-45.4153,-3.9299,-28.3292,-28.3292,-49.5884,-34.9548,-49.5884,-34.9548,-69.5717,-47.7275,-67.127,-46.2207,1005519732.6
603083.SH,2019-08-28,2019-06-30,1.0417,0.6947,0.6757,1.9517,1.831,0.8038,0.4022,15.8579,0.5185,62.4795,-14.2487,18.3822,8.9677,1.3998,1.3998,1.6986,10.0465,1.6986,10.0465,-77.9726,334.5030000000001,-79.135,338.0481,1449944002.45
603991.SH,2019-08-22,2019-06-30,1.5624,1.3531,1.1407,2.5425,0.8452,0.425,2.9392,22.1558,1.3468,40.789,-50.7272,-51.8298,0.5235,-7.9487,-7.9487,-36.4029,-30.1814,-36.4029,-30.1814,-53.9929,-28.4327,-51.8109,-22.5468,224154242.88
002421.SZ,2019-07-27,2019-06-30,1.8966,1.729,1.5741,1.7674,0.4446,0.2156,10.2245,34.4211,2.8645,47.2423,-20.2498,-21.1247,-3.834,-11.3878,-11.3878,-23.2855,23.2149,-23.2855,23.2149,-7.0382,172.3868,17.0734,284.4608,924324680.73
000707.SZ,2019-08-20,2019-06-30,0.3841,0.1844,0.1303,1.4953,25.2131,0.9622,0.3454,20.7256,3.322,95.7356,-99.2588,-96.9866,-6.4749,-32.732,-32.732,-36.1702,-1.662,-36.1702,-1.662,-100.5192,-148.4333,-100.9137,-147.623,1223827306.83
002674.SZ,2019-07-23,2019-06-30,3.6963,2.5543,2.4401,1.0088,3.1672,0.3184,9.9013,18.0103,3.0684,21.0999,89.8836,104.5442,-5.5755,-9.6429,-9.6429,-12.0463,22.9159,-12.0463,22.9159,88.4481,105.6,94.6193,114.7535,700130289.09
002503.SZ,2019-08-28,2019-06-30,1.9328,1.1844,0.7586,1.7887,3.3151,0.7224,3.2307,8.5878,3.4505,49.1287,-61.1115,-60.832,11.4721,-44.1142,-44.144,-49.1066,-9.6755,-49.1171,-9.6673,-72.2602,-24.4232,-73.5236,-27.0046,6077047299.49
