ts_code,start_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000038.SZ,2017-03-02,24.7632,17.33424,True,2018-08-24
000038.SZ,2017-03-02,24.7632,17.33424,True,2018-08-24
000038.SZ,2017-03-02,24.7632,17.33424,True,2018-08-24
000038.SZ,2019-02-21,13.23,9.261,True,2019-05-28
000038.SZ,2018-12-14,13.11,9.177,True,2019-05-28
000038.SZ,2018-10-12,11.81,8.267,True,2019-05-30
000038.SZ,2018-10-08,12.28,8.595999999999998,True,2019-05-30
000038.SZ,2016-09-26,27.1353,18.994709999999998,True,2018-01-17
000038.SZ,2016-09-20,27.8426,19.489819999999998,True,2017-05-11
000038.SZ,2016-07-04,35.782,25.047399999999996,True,2017-01-16
000038.SZ,2016-09-19,27.6231,19.33617,True,2018-01-15
000038.SZ,2016-09-19,27.6231,19.33617,True,2018-01-15
000038.SZ,2016-12-08,31.0988,21.76916,True,2017-04-24
000038.SZ,2016-09-22,27.9585,19.57095,True,2017-05-11
000038.SZ,2016-09-26,27.1353,18.994709999999998,True,2018-01-17
000038.SZ,2016-07-04,35.782,25.047399999999996,True,2017-01-16
000038.SZ,2016-09-20,27.8426,19.489819999999998,True,2017-05-11
000038.SZ,2016-09-29,27.4462,19.21234,True,2018-01-16
000038.SZ,2016-09-27,27.1962,19.03734,True,2018-01-17
000038.SZ,2016-09-21,27.928,19.549599999999998,True,2017-05-11
000038.SZ,2016-08-25,28.5865,20.01055,True,2017-05-11
000040.SZ,2018-12-21,7.8623,5.50361,True,2019-08-01
000040.SZ,2016-09-20,13.0057,9.10399,True,2018-07-06
000042.SZ,2016-06-07,15.1706,10.61942,True,2019-05-17
000042.SZ,2017-06-01,16.742,11.7194,True,2018-11-30
000042.SZ,2017-05-23,16.9071,11.834969999999998,True,2018-11-30
000042.SZ,2019-03-19,12.9195,9.04365,True,2019-08-05
000042.SZ,2019-03-06,12.9888,9.09216,True,2019-08-02
000042.SZ,2017-06-01,16.742,11.7194,True,2018-11-30
000042.SZ,2017-05-23,16.9071,11.834969999999998,True,2018-11-30
000042.SZ,2018-10-31,12.4938,8.745659999999999,True,2019-08-06
000042.SZ,2018-10-22,12.9195,9.04365,True,2019-08-05
000042.SZ,2017-11-17,15.1814,10.62698,True,2019-05-17
000042.SZ,2017-05-22,17.1015,11.97105,True,2018-11-29
000042.SZ,2017-04-13,18.3647,12.855289999999998,True,2018-10-24
000042.SZ,2016-06-07,15.1706,10.61942,True,2019-05-17
000042.SZ,2016-05-19,14.6908,10.28356,True,2019-05-20
000046.SZ,2017-03-07,8.77,6.138999999999999,True,2018-06-19
000046.SZ,2017-04-18,8.6861,6.08027,True,2018-06-19
000046.SZ,2017-11-20,6.5741,4.601869999999999,True,2018-07-04
000046.SZ,2017-11-21,7.0681,4.94767,True,2018-07-03
000046.SZ,2019-04-16,7.4533,5.2173099999999994,True,2019-07-08
000046.SZ,2019-03-26,7.0733,4.951309999999999,True,2019-08-01
