ts_code,start_date,pledge_price,forcast_close_line,close_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
000008.SZ,2018/1/10,8.2351,5.76457,2018/5/2,1.9626,1.6045,1.3988,0.437,0.2968,0.1259,8.8351,51.1164,0.8679,27.2238,41.2092,12.7929,-8.3289,28.4217,28.4217,42.3543,149.2525,42.3543,149.2525,2.8045,295.6421,1.7962,422.7903,1289516557
000008.SZ,2017/9/25,8.6992,6.08944,2018/4/16,1.8903,1.6861,1.0755,1.856,1.1209,0.4278,38.1654,48.8964,13.2206,32.6949,80.9603,58.525,30.3401,24.2497,24.2497,55.6149,229.1453,55.6149,229.1453,174.505,858.6634,142.5251,951.4593,209019068.2
000008.SZ,2017/9/19,8.7584,6.13088,2018/4/16,1.8903,1.6861,1.0755,1.856,1.1209,0.4278,38.1654,48.8964,13.2206,32.6949,80.9603,58.525,30.3401,24.2497,24.2497,55.6149,229.1453,55.6149,229.1453,174.505,858.6634,142.5251,951.4593,209019068.2
000008.SZ,2016/3/4,7.6417,5.34919,2018/6/5,1.9626,1.6045,1.3988,0.437,0.2968,0.1259,8.8351,51.1164,0.8679,27.2238,41.2092,12.7929,-8.3289,28.4217,28.4217,42.3543,149.2525,42.3543,149.2525,2.8045,295.6421,1.7962,422.7903,1289516557
000008.SZ,2016/1/28,7.691,5.3837,2018/6/5,1.9626,1.6045,1.3988,0.437,0.2968,0.1259,8.8351,51.1164,0.8679,27.2238,41.2092,12.7929,-8.3289,28.4217,28.4217,42.3543,149.2525,42.3543,149.2525,2.8045,295.6421,1.7962,422.7903,1289516557
000009.SZ,2017/7/28,6.9388,4.85716,2018/2/6,1.6416,0.8266,0.7524,0.5532,4.0205,0.4376,4.6024,33.7151,2.8125,63.3121,-20.8994,-29.9513,25.3737,9.6332,9.5413,-2.8839,11.4069,-3.2537,11.1925,-223.7768,-131.5498,-189.2332,-131.0696,2020831899
000009.SZ,2018/6/15,4.4296,3.10072,2018/10/16,1.6512,0.8513,0.732,0.4639,2.9433,0.3537,3.9025,35.3386,1.955,65.357,-21.5826,-18.9001,6.2407,36.3884,36.4478,19.4022,-0.333,19.5172,-0.2436,-96.3073,-96.9468,-76.866,-75.696,11715547130
000009.SZ,2017/12/14,6.0028,4.20196,2018/6/19,1.6583,0.8789,0.7856,0.3079,1.9447,0.233,5.1693,35.7829,2.2798,64.8657,39.6536,35.1683,4.2279,47.5625,47.5879,38.4872,14.6265,38.5341,14.6575,54.359,144.4823,11.5332,83.1503,6649258487
000009.SZ,2017/7/4,6.6084,4.62588,2018/2/6,1.6416,0.8266,0.7524,0.5532,4.0205,0.4376,4.6024,33.7151,2.8125,63.3121,-20.8994,-29.9513,25.3737,9.6332,9.5413,-2.8839,11.4069,-3.2537,11.1925,-223.7768,-131.5498,-189.2332,-131.0696,2020831899
000009.SZ,2017/10/19,6.8308,4.78156,2018/2/6,1.6416,0.8266,0.7524,0.5532,4.0205,0.4376,4.6024,33.7151,2.8125,63.3121,-20.8994,-29.9513,25.3737,9.6332,9.5413,-2.8839,11.4069,-3.2537,11.1925,-223.7768,-131.5498,-189.2332,-131.0696,2020831899
000009.SZ,2017/11/15,6.3588,4.45116,2018/2/6,1.6416,0.8266,0.7524,0.5532,4.0205,0.4376,4.6024,33.7151,2.8125,63.3121,-20.8994,-29.9513,25.3737,9.6332,9.5413,-2.8839,11.4069,-3.2537,11.1925,-223.7768,-131.5498,-189.2332,-131.0696,2020831899
000009.SZ,2018/1/18,5.5722,3.90054,2018/6/21,1.6583,0.8789,0.7856,0.3079,1.9447,0.233,5.1693,35.7829,2.2798,64.8657,39.6536,35.1683,4.2279,47.5625,47.5879,38.4872,14.6265,38.5341,14.6575,54.359,144.4823,11.5332,83.1503,6649258487
000009.SZ,2017/11/23,6.1849,4.32943,2018/6/19,1.6583,0.8789,0.7856,0.3079,1.9447,0.233,5.1693,35.7829,2.2798,64.8657,39.6536,35.1683,4.2279,47.5625,47.5879,38.4872,14.6265,38.5341,14.6575,54.359,144.4823,11.5332,83.1503,6649258487
000009.SZ,2017/7/18,6.2284,4.35988,2018/6/19,1.6583,0.8789,0.7856,0.3079,1.9447,0.233,5.1693,35.7829,2.2798,64.8657,39.6536,35.1683,4.2279,47.5625,47.5879,38.4872,14.6265,38.5341,14.6575,54.359,144.4823,11.5332,83.1503,6649258487
