,ts_code,start_date,is_release,release_date
280,000009.SZ,2017-12-14,1.0,20181112
281,000009.SZ,2018-09-11,0.0,
282,000009.SZ,2018-08-02,0.0,
283,000009.SZ,2017-07-04,1.0,20180710
284,000009.SZ,2018-06-28,0.0,
285,000009.SZ,2017-10-19,1.0,20180625
286,000009.SZ,2017-11-15,1.0,20180625
287,000009.SZ,2018-01-18,1.0,20180625
288,000009.SZ,2017-11-23,1.0,20180625
290,000009.SZ,2017-07-18,1.0,20180620
291,000009.SZ,2018-06-15,0.0,
292,000009.SZ,2017-05-03,1.0,20180514
293,000009.SZ,2018-01-18,0.0,
294,000009.SZ,2017-12-14,0.0,
295,000009.SZ,2017-05-15,1.0,20171212
296,000009.SZ,2017-01-04,1.0,20171212
298,000009.SZ,2017-11-23,0.0,
299,000009.SZ,2016-11-10,1.0,20171114
300,000009.SZ,2017-04-17,1.0,20171114
301,000009.SZ,2017-11-15,0.0,
302,000009.SZ,2017-05-15,1.0,20171114
303,000009.SZ,2017-10-19,0.0,
304,000009.SZ,2016-10-28,1.0,20170815
305,000009.SZ,2017-07-28,0.0,
306,000009.SZ,2016-10-28,1.0,20170724
307,000009.SZ,2016-07-13,1.0,20170718
308,000009.SZ,2017-07-18,0.0,
309,000009.SZ,2017-05-15,1.0,20170718
310,000009.SZ,2017-07-04,0.0,
311,000009.SZ,2016-05-10,1.0,20170515
312,000009.SZ,2017-05-03,0.0,
313,000009.SZ,2016-01-12,1.0,20170119
314,000009.SZ,2016-07-20,1.0,20170119
316,000009.SZ,2016-08-03,1.0,20161028
318,000009.SZ,2016-01-28,1.0,20160713
322,000009.SZ,2016-01-28,1.0,20160510
324,000009.SZ,2016-01-28,1.0,20160426
357,000012.SZ,2018-11-29,0.0,
359,000012.SZ,2016-07-12,1.0,20180712
360,000012.SZ,2016-07-12,0.0,
361,000014.SZ,2017-11-14,1.0,20180104
362,000014.SZ,2017-11-14,0.0,
363,000014.SZ,2017-11-14,1.0,20171218
364,000014.SZ,2017-11-14,1.0,20171214
369,000018.SZ,2018-06-22,0.0,
371,000018.SZ,2018-06-29,0.0,
372,000018.SZ,2018-02-05,0.0,
373,000018.SZ,2018-02-01,0.0,
374,000018.SZ,2018-02-02,0.0,
378,000018.SZ,2017-12-25,0.0,
382,000018.SZ,2017-10-18,0.0,
383,000018.SZ,2017-05-12,0.0,
385,000018.SZ,2016-01-22,1.0,20170302
386,000018.SZ,2017-03-09,0.0,
387,000018.SZ,2016-11-17,0.0,
389,000018.SZ,2016-10-13,0.0,
392,000018.SZ,2016-08-01,0.0,
399,000020.SZ,2016-02-01,0.0,
403,000023.SZ,2019-03-04,0.0,
404,000023.SZ,2017-11-09,1.0,20180104
405,000023.SZ,2017-11-17,1.0,20171220
406,000023.SZ,2017-10-13,1.0,20171106
408,000023.SZ,2017-01-17,1.0,20171013
409,000023.SZ,2016-10-18,1.0,20171013
410,000023.SZ,2016-10-18,1.0,20170113
412,000023.SZ,2016-03-30,1.0,20160831
426,000030.SZ,2017-07-12,1.0,20190227
427,000030.SZ,2016-08-24,1.0,20180212
435,000034.SZ,2016-06-15,0.0,
436,000034.SZ,2016-06-21,0.0,
437,000034.SZ,2016-11-25,0.0,
438,000034.SZ,2017-07-25,0.0,
439,000034.SZ,2017-07-28,0.0,
440,000034.SZ,2016-06-22,0.0,
441,000034.SZ,2016-08-04,1.0,20190802
442,000034.SZ,2016-06-22,1.0,20181210
444,000034.SZ,2018-12-07,0.0,
445,000034.SZ,2018-12-10,0.0,
447,000034.SZ,2016-06-22,1.0,20180914
448,000034.SZ,2016-06-22,1.0,20170728
453,000034.SZ,2016-06-15,1.0,20161128
454,000034.SZ,2016-06-22,1.0,20161128
457,000034.SZ,2016-06-22,1.0,20160928
459,000034.SZ,2016-08-04,0.0,
464,000035.SZ,2019-07-05,0.0,
465,000035.SZ,2018-08-14,0.0,
466,000035.SZ,2018-08-06,0.0,
467,000035.SZ,2018-07-31,0.0,
469,000035.SZ,2018-07-24,0.0,
470,000035.SZ,2016-08-08,1.0,20180723
471,000035.SZ,2016-08-11,1.0,20180720
472,000035.SZ,2016-08-11,1.0,20180723
473,000035.SZ,2016-08-08,1.0,20180720
475,000035.SZ,2018-07-13,0.0,
476,000035.SZ,2017-06-15,1.0,20180710
477,000035.SZ,2017-03-06,1.0,20180306
479,000035.SZ,2016-08-11,0.0,
481,000035.SZ,2016-08-08,0.0,
483,000035.SZ,2017-03-10,0.0,
484,000035.SZ,2017-03-10,1.0,20170629
485,000035.SZ,2017-06-30,0.0,
487,000035.SZ,2017-06-15,0.0,
489,000035.SZ,2016-09-07,1.0,20170307
490,000035.SZ,2017-02-20,0.0,
493,000035.SZ,2016-12-16,0.0,
494,000035.SZ,2016-11-29,0.0,
502,000035.SZ,2016-03-01,1.0,20160919
507,000035.SZ,2016-07-13,1.0,20160811
517,000038.SZ,2019-04-04,1.0,20190508
519,000038.SZ,2019-04-04,0.0,
522,000038.SZ,2017-03-02,0.0,
523,000038.SZ,2017-03-02,1.0,20190319
524,000038.SZ,2017-03-02,1.0,20190221
526,000038.SZ,2019-02-21,0.0,
528,000038.SZ,2018-12-14,1.0,20181227
530,000038.SZ,2018-12-14,0.0,
532,000038.SZ,2018-10-12,0.0,
533,000038.SZ,2018-10-08,0.0,
534,000038.SZ,2016-09-26,1.0,20180927
535,000038.SZ,2016-09-20,1.0,20180914
536,000038.SZ,2018-08-13,0.0,
538,000038.SZ,2017-03-02,1.0,20180530
539,000038.SZ,2018-06-01,0.0,
540,000038.SZ,2016-07-04,1.0,20180523
541,000038.SZ,2018-03-06,1.0,20180524
542,000038.SZ,2018-03-07,1.0,20180524
543,000038.SZ,2018-05-25,0.0,
544,000038.SZ,2018-03-06,0.0,
545,000038.SZ,2018-03-06,1.0,20180404
546,000038.SZ,2016-01-29,1.0,20180328
549,000038.SZ,2018-03-07,0.0,
550,000038.SZ,2016-09-19,0.0,
551,000038.SZ,2016-09-19,1.0,20180117
552,000038.SZ,2016-09-19,1.0,20180110
557,000038.SZ,2017-07-17,1.0,20171124
558,000038.SZ,2016-03-01,1.0,20170228
560,000038.SZ,2016-12-08,0.0,
562,000038.SZ,2016-09-22,0.0,
563,000038.SZ,2016-09-26,0.0,
564,000038.SZ,2016-07-04,1.0,20160923
565,000038.SZ,2016-07-04,1.0,20160922
566,000038.SZ,2016-07-04,0.0,
567,000038.SZ,2016-07-04,1.0,20160927
568,000038.SZ,2016-09-20,0.0,
570,000038.SZ,2016-09-29,0.0,
571,000038.SZ,2016-07-04,1.0,20160920
572,000038.SZ,2016-09-27,0.0,
573,000038.SZ,2016-09-21,0.0,
574,000038.SZ,2016-08-25,0.0,
575,000038.SZ,2016-06-17,0.0,
582,000038.SZ,2016-06-16,0.0,
583,000038.SZ,2016-03-11,1.0,20160407
584,000038.SZ,2016-04-06,0.0,
594,000040.SZ,2019-06-26,0.0,
595,000040.SZ,2018-12-21,0.0,
596,000040.SZ,2016-09-20,0.0,
615,000042.SZ,2019-07-17,0.0,
617,000042.SZ,2019-07-12,0.0,
619,000042.SZ,2016-06-07,1.0,20190618
620,000042.SZ,2017-06-01,1.0,20190523
621,000042.SZ,2019-01-04,1.0,20190523
622,000042.SZ,2019-05-24,0.0,
624,000042.SZ,2017-05-23,1.0,20190425
625,000042.SZ,2019-01-04,1.0,20190425
626,000042.SZ,2019-03-19,0.0,
627,000042.SZ,2019-03-06,0.0,
629,000042.SZ,2019-01-04,0.0,
633,000042.SZ,2018-12-25,0.0,
635,000042.SZ,2017-05-23,1.0,20181128
636,000042.SZ,2017-06-01,0.0,
637,000042.SZ,2017-05-23,0.0,
638,000042.SZ,2017-06-01,1.0,20181128
639,000042.SZ,2017-11-17,1.0,20181112
641,000042.SZ,2018-11-09,0.0,
643,000042.SZ,2018-10-31,0.0,
645,000042.SZ,2018-10-22,0.0,
647,000042.SZ,2016-05-19,1.0,20181010
648,000042.SZ,2017-05-22,1.0,20180522
649,000042.SZ,2017-11-17,0.0,
652,000042.SZ,2016-01-07,1.0,20170525
654,000042.SZ,2017-05-22,0.0,
655,000042.SZ,2016-01-07,1.0,20170518
656,000042.SZ,2017-04-13,0.0,
657,000042.SZ,2017-02-14,0.0,
661,000042.SZ,2016-06-07,0.0,
664,000042.SZ,2016-05-19,0.0,
683,000046.SZ,2017-03-07,1.0,20190401
684,000046.SZ,2017-04-18,1.0,20190401
685,000046.SZ,2017-11-20,1.0,20190401
687,000046.SZ,2017-11-21,1.0,20181204
688,000046.SZ,2018-06-15,1.0,20190402
689,000046.SZ,2018-06-15,1.0,20190401
690,000046.SZ,2018-06-21,1.0,20181204
691,000046.SZ,2018-07-03,1.0,20190401
692,000046.SZ,2018-07-03,1.0,20190402
694,000046.SZ,2018-10-22,1.0,20190415
695,000046.SZ,2018-11-22,1.0,20190402
696,000046.SZ,2018-11-22,1.0,20190401
697,000046.SZ,2019-04-16,0.0,
698,000046.SZ,2019-03-26,0.0,
699,000046.SZ,2016-09-08,1.0,20181018
700,000046.SZ,2018-07-05,1.0,20181018
701,000046.SZ,2018-07-05,1.0,20181116
702,000046.SZ,2016-09-12,1.0,20181116
704,000046.SZ,2016-09-12,0.0,
705,000046.SZ,2018-09-06,0.0,
706,000046.SZ,2018-09-10,0.0,
707,000046.SZ,2018-10-08,0.0,
708,000046.SZ,2018-10-09,0.0,
709,000046.SZ,2018-10-12,0.0,
710,000046.SZ,2018-10-22,0.0,
711,000046.SZ,2018-11-16,0.0,
712,000046.SZ,2018-11-22,0.0,
714,000046.SZ,2018-11-29,0.0,
715,000046.SZ,2018-06-19,1.0,20181018
716,000046.SZ,2018-06-19,1.0,20181116
718,000046.SZ,2018-06-29,1.0,20180725
719,000046.SZ,2018-07-03,0.0,
722,000046.SZ,2018-07-03,1.0,20180724
723,000046.SZ,2018-07-05,0.0,
727,000046.SZ,2018-07-06,1.0,20180725
728,000046.SZ,2018-07-12,0.0,
729,000046.SZ,2018-07-26,0.0,
730,000046.SZ,2016-09-08,1.0,20180725
731,000046.SZ,2017-08-29,1.0,20180725
732,000046.SZ,2018-06-28,1.0,20180724
733,000046.SZ,2018-06-29,0.0,
734,000046.SZ,2018-06-28,0.0,
735,000046.SZ,2018-06-15,0.0,
737,000046.SZ,2018-06-19,0.0,
740,000046.SZ,2018-06-20,0.0,
741,000046.SZ,2018-06-21,0.0,
745,000046.SZ,2018-06-25,0.0,
746,000046.SZ,2016-01-26,1.0,20180205
747,000046.SZ,2018-02-06,0.0,
748,000046.SZ,2018-02-08,0.0,
749,000046.SZ,2018-02-12,0.0,
750,000046.SZ,2016-11-28,1.0,20171206
751,000046.SZ,2017-05-16,1.0,20171206
752,000046.SZ,2017-11-21,1.0,20171206
753,000046.SZ,2017-11-20,0.0,
755,000046.SZ,2017-11-21,0.0,
759,000046.SZ,2017-11-28,0.0,
760,000046.SZ,2017-11-03,0.0,
761,000046.SZ,2017-05-17,1.0,20171103
764,000046.SZ,2017-10-23,0.0,
766,000046.SZ,2017-05-17,1.0,20170823
767,000046.SZ,2017-08-22,0.0,
768,000046.SZ,2017-08-29,0.0,
769,000046.SZ,2017-08-16,0.0,
774,000046.SZ,2017-07-24,0.0,
775,000046.SZ,2017-05-16,1.0,20170721
776,000046.SZ,2017-07-25,0.0,
779,000046.SZ,2017-05-24,0.0,
781,000046.SZ,2017-05-25,0.0,
783,000046.SZ,2017-04-18,0.0,
785,000046.SZ,2017-04-19,0.0,
786,000046.SZ,2016-04-25,1.0,20170428
793,000046.SZ,2017-04-17,0.0,
794,000046.SZ,2017-03-07,0.0,
795,000046.SZ,2016-03-09,1.0,20170315
798,000046.SZ,2016-12-16,0.0,
799,000046.SZ,2016-09-08,0.0,
808,000046.SZ,2016-02-02,0.0,
898,000048.SZ,2019-04-29,0.0,
899,000048.SZ,2017-03-16,1.0,20190422
900,000048.SZ,2017-11-20,1.0,20190422
901,000048.SZ,2017-12-18,1.0,20190422
902,000048.SZ,2019-01-28,0.0,
903,000048.SZ,2017-03-16,0.0,
904,000048.SZ,2017-03-16,1.0,20180709
905,000048.SZ,2018-05-25,0.0,
906,000048.SZ,2017-05-23,1.0,20180327
907,000048.SZ,2017-12-19,1.0,20180327
908,000048.SZ,2017-12-18,0.0,
909,000048.SZ,2017-12-05,0.0,
910,000048.SZ,2017-11-20,0.0,
911,000048.SZ,2017-11-16,0.0,
912,000048.SZ,2017-05-08,0.0,
913,000048.SZ,2016-12-12,1.0,20170324
915,000048.SZ,2017-03-10,0.0,
916,000048.SZ,2016-03-16,1.0,20170217
917,000048.SZ,2016-03-10,1.0,20170217
918,000048.SZ,2016-02-23,1.0,20170217
920,000048.SZ,2016-03-16,1.0,20170117
921,000048.SZ,2016-03-11,1.0,20170117
922,000048.SZ,2016-01-20,1.0,20170117
924,000048.SZ,2016-02-02,1.0,20170117
926,000048.SZ,2016-01-20,1.0,20160930
931,000055.SZ,2017-03-15,1.0,20180309
932,000055.SZ,2017-05-19,1.0,20180312
933,000055.SZ,2018-03-05,0.0,
944,000056.SZ,2017-03-16,1.0,20181121
949,000056.SZ,2016-08-16,1.0,20180814
950,000056.SZ,2018-08-14,0.0,
951,000056.SZ,2018-06-04,0.0,
952,000056.SZ,2018-06-01,0.0,
953,000056.SZ,2018-06-05,0.0,
954,000056.SZ,2018-06-06,0.0,
956,000056.SZ,2018-06-07,0.0,
957,000056.SZ,2018-06-08,0.0,
958,000056.SZ,2018-06-12,0.0,
960,000056.SZ,2016-07-29,0.0,
961,000056.SZ,2016-07-29,1.0,20180608
962,000056.SZ,2018-05-07,0.0,
963,000056.SZ,2018-05-09,0.0,
964,000056.SZ,2018-05-04,0.0,
965,000056.SZ,2018-05-03,0.0,
969,000056.SZ,2018-04-25,0.0,
972,000056.SZ,2018-04-23,0.0,
973,000056.SZ,2017-04-12,1.0,20180420
974,000056.SZ,2018-04-24,0.0,
977,000056.SZ,2017-11-02,0.0,
979,000056.SZ,2016-07-29,1.0,20171031
980,000056.SZ,2016-08-04,1.0,20171031
981,000056.SZ,2017-10-18,0.0,
982,000056.SZ,2016-07-21,1.0,20170811
983,000056.SZ,2016-07-21,0.0,
984,000056.SZ,2016-07-29,1.0,20170802
985,000056.SZ,2017-08-04,0.0,
986,000056.SZ,2016-07-29,1.0,20170801
987,000056.SZ,2017-06-16,0.0,
988,000056.SZ,2016-07-29,1.0,20170612
989,000056.SZ,2017-06-15,0.0,
990,000056.SZ,2017-05-02,0.0,
991,000056.SZ,2017-03-16,0.0,
992,000056.SZ,2017-03-09,0.0,
994,000056.SZ,2016-01-28,1.0,20170208
995,000056.SZ,2017-01-24,0.0,
1008,000060.SZ,2019-01-31,0.0,
1009,000060.SZ,2018-07-19,1.0,20190104
1010,000060.SZ,2018-01-05,1.0,20190104
1011,000060.SZ,2018-07-19,0.0,
1012,000060.SZ,2018-01-05,0.0,
1023,000062.SZ,2019-06-19,1.0,20190628
1024,000062.SZ,2019-06-19,0.0,
1025,000063.SZ,2018-12-20,0.0,
1026,000068.SZ,2017-01-06,0.0,
1027,000068.SZ,2016-05-17,1.0,20170106
1037,000069.SZ,2017-06-12,0.0,
1039,000078.SZ,2017-06-20,1.0,20190806
1041,000078.SZ,2018-04-09,1.0,20190404
1042,000078.SZ,2019-04-04,0.0,
1043,000078.SZ,2019-01-29,0.0,
1044,000078.SZ,2017-01-19,1.0,20190129
