ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line
000023.SZ,2017-11-09,2018-01-04,23.218000000000004,16.2526,False
000023.SZ,2017-11-17,2017-12-20,22.3654,15.65578,False
000023.SZ,2017-10-13,2017-11-06,24.2094,16.946579999999997,False
000023.SZ,2017-01-17,2017-10-13,25.7467,18.02269,False
000023.SZ,2016-10-18,2017-01-13,29.5775,20.70425,False
000030.SZ,2016-08-24,2018-02-12,5.0877,3.56139,False
000034.SZ,2018-12-07,,14.6725,10.27075,False
000034.SZ,2018-12-10,,14.2199,9.95393,False
000034.SZ,2016-06-22,2017-07-28,17.7621,12.43347,False
000034.SZ,2016-06-22,2016-11-28,17.7621,12.43347,False
000034.SZ,2016-06-22,2016-09-28,17.7621,12.43347,False
000035.SZ,2019-07-05,,6.17,4.319,False
000035.SZ,2018-08-14,,4.05,2.8349999999999995,False
000035.SZ,2018-08-06,,3.96,2.772,False
000035.SZ,2018-07-31,,4.52,3.1639999999999997,False
000035.SZ,2018-07-24,,4.56,3.1919999999999997,False
000035.SZ,2018-07-13,,4.62,3.234,False
000035.SZ,2017-06-15,2018-07-10,6.87,4.809,False
000035.SZ,2017-03-06,2018-03-06,7.52,5.263999999999999,False
000035.SZ,2017-03-10,2017-06-29,7.28,5.096,False
000035.SZ,2016-03-01,2016-09-19,5.25,3.675,False
000035.SZ,2016-07-13,2016-08-11,7.18,5.026,False
000038.SZ,2019-04-04,2019-05-08,14.02,9.813999999999998,False
000038.SZ,2018-12-14,2018-12-27,13.11,9.177,False
000038.SZ,2017-03-02,2018-05-30,24.7632,17.33424,False
000038.SZ,2016-09-19,2018-01-10,27.6231,19.33617,False
000038.SZ,2016-07-04,2016-09-23,35.782,25.047399999999996,False
000038.SZ,2016-07-04,2016-09-22,35.782,25.047399999999996,False
000038.SZ,2016-07-04,2016-09-27,35.782,25.047399999999996,False
000038.SZ,2016-07-04,2016-09-20,35.782,25.047399999999996,False
000040.SZ,2019-06-26,,6.6162,4.63134,False
000042.SZ,2019-07-17,,9.57,6.699,False
000042.SZ,2019-07-12,,9.6,6.72,False
000042.SZ,2019-01-04,2019-05-23,10.5138,7.359659999999999,False
000042.SZ,2019-05-24,,9.9495,6.96465,False
000042.SZ,2019-01-04,2019-04-25,10.5138,7.359659999999999,False
000042.SZ,2019-01-04,,10.5138,7.359659999999999,False
000042.SZ,2018-12-25,,11.0187,7.71309,False
000042.SZ,2017-05-23,2018-11-28,16.9071,11.834969999999998,False
000042.SZ,2017-06-01,2018-11-28,16.742,11.7194,False
000042.SZ,2017-11-17,2018-11-12,15.1814,10.62698,False
000042.SZ,2018-11-09,,12.0087,8.406089999999999,False
000042.SZ,2016-05-19,2018-10-10,14.6908,10.28356,False
000042.SZ,2017-05-22,2018-05-22,17.1015,11.97105,False
000042.SZ,2016-01-07,2017-05-25,18.1356,12.69492,False
000042.SZ,2016-01-07,2017-05-18,18.1356,12.69492,False
000046.SZ,2018-06-15,2019-04-02,6.289,4.402299999999999,False
000046.SZ,2018-06-15,2019-04-01,6.289,4.402299999999999,False
000046.SZ,2018-06-21,2018-12-04,5.7855,4.049849999999999,False
000046.SZ,2018-07-03,2019-04-01,4.7975,3.35825,False
000046.SZ,2018-07-03,2019-04-02,4.7975,3.35825,False
