,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
294,000881.SZ,2017-03-29,16.52,14.45,25.81,684.11,100.0,0.65,2017-11-16,0
295,000881.SZ,2017-03-29,16.52,14.45,25.81,1026.16,100.0,0.97,2017-11-16,0
296,000881.SZ,2017-03-29,16.52,14.45,25.81,384.86,100.0,0.36,2017-11-16,0
297,000881.SZ,2017-03-29,16.52,14.45,25.81,213.83,100.0,0.2,2017-11-16,0
298,000881.SZ,2017-03-28,16.48,14.42,25.75,30.57,19.52,0.03,2017-11-16,0
299,000881.SZ,2017-03-23,16.79,14.69,26.23,11.43,100.0,0.01,2017-11-14,0
300,000881.SZ,2017-03-22,16.54,14.47,25.85,666.11,100.0,0.63,2017-11-16,0
301,000881.SZ,2017-03-20,17.13,14.99,26.77,222.04,100.0,0.21,2017-11-03,0
302,000881.SZ,2017-03-13,17.0,14.87,26.56,15.78,100.0,0.01,2017-11-13,0
303,000881.SZ,2017-03-13,17.0,14.87,26.56,19.55,100.0,0.02,2017-11-13,0
304,000881.SZ,2017-03-13,17.0,14.87,26.56,9.26,100.0,0.01,2017-11-13,0
305,000881.SZ,2017-03-13,17.0,14.87,26.56,170.28,100.0,0.16,2017-11-13,0
306,000881.SZ,2017-03-13,17.0,14.87,26.56,225.65,100.0,0.21,2017-11-13,0
307,000881.SZ,2017-03-13,17.0,14.87,26.56,56.41,100.0,0.05,2017-11-13,0
308,000881.SZ,2017-03-13,17.0,14.87,26.56,95.88,100.0,0.09,2017-11-13,0
309,000881.SZ,2017-03-10,17.03,14.9,26.61,789.77,100.0,0.75,2017-11-03,0
310,000881.SZ,2017-03-10,17.03,14.9,26.61,1110.19,100.0,1.05,2017-11-03,0
311,000881.SZ,2017-03-03,17.5,15.31,27.35,88.04,100.0,0.08,2017-11-03,0
312,000881.SZ,2017-03-03,17.5,15.31,27.35,435.38,100.0,0.41,2017-11-03,0
313,000881.SZ,2017-03-03,17.5,15.31,27.35,626.31,100.0,0.59,2017-11-03,0
314,000881.SZ,2017-03-03,17.5,15.31,27.35,58.7,100.0,0.06,2017-11-03,0
315,000881.SZ,2017-03-01,17.84,15.61,27.87,74.05,100.0,0.07,2017-11-02,0
316,000881.SZ,2017-03-01,17.84,15.61,27.87,1332.22,100.0,1.26,2017-11-02,0
317,000881.SZ,2017-02-28,16.22,14.19,25.34,666.11,100.0,0.63,2017-11-17,0
318,000881.SZ,2017-02-28,16.22,14.19,25.34,64.23,100.0,0.06,2017-11-17,0
319,000881.SZ,2017-02-28,16.22,14.19,25.34,666.11,100.0,0.63,2017-11-17,0
320,000881.SZ,2017-02-28,16.22,14.19,25.34,222.04,100.0,0.21,2017-11-17,0
321,000881.SZ,2017-02-28,16.22,14.19,25.34,444.07,100.0,0.42,2017-11-17,0
322,000881.SZ,2017-02-28,16.22,14.19,25.34,1332.22,100.0,1.28,2017-11-17,0
323,000881.SZ,2017-02-28,16.22,14.19,25.34,888.15,100.0,0.84,2017-11-17,0
324,000881.SZ,2017-02-28,16.22,14.19,25.34,222.04,100.0,0.21,2017-11-17,0
325,000881.SZ,2017-02-27,16.73,14.63,26.13,2220.37,100.0,2.1,2017-11-14,0
326,000881.SZ,2017-02-24,17.44,15.26,27.26,4437.68,100.0,4.2,2017-11-03,0
327,000881.SZ,2017-02-23,16.87,14.76,26.35,480.48,100.0,0.46,2017-11-13,0
328,000881.SZ,2017-02-23,16.87,14.76,26.35,9.9,100.0,0.01,2017-11-13,0
329,000881.SZ,2017-02-23,16.87,14.76,26.35,240.24,100.0,0.23,2017-11-13,0
330,000881.SZ,2017-02-23,16.87,14.76,26.35,233.93,100.0,0.22,2017-11-13,0
331,000881.SZ,2017-02-22,16.55,14.48,25.86,19.78,100.0,0.02,2017-11-16,0
332,000881.SZ,2017-02-22,16.55,14.48,25.86,456.61,100.0,0.43,2017-11-16,0
333,000881.SZ,2017-02-22,16.55,14.48,25.86,158.19,100.0,0.15,2017-11-16,0
