trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2017-08-17,497.6,497.6,489.8,492.69,496.49,-3.8,-0.77,25846.73,1272341.257
2017-08-18,492.8,494.44,488.0,489.65,492.69,-3.04,-0.62,23857.75,1169732.673
2017-08-21,488.0,494.4,486.94,489.73,489.65,0.08,0.02,23546.62,1153168.712
2017-08-22,487.4,489.48,476.0,487.22,489.73,-2.51,-0.51,42457.03,2051271.355
2017-08-23,485.45,494.63,484.32,494.01,487.22,6.79,1.39,27214.99,1337347.647
2017-08-24,493.99,496.4,492.02,492.81,494.01,-1.2,-0.24,18156.78,896861.683
2017-08-25,493.45,494.25,489.32,492.99,492.81,0.18,0.04,17297.88,850598.725
2017-08-28,493.0,497.29,491.03,492.04,492.99,-0.95,-0.19,29021.07,1432545.548
2017-08-29,493.02,494.88,488.01,489.44,492.04,-2.6,-0.53,25176.62,1234431.719
2017-08-30,489.7,493.75,489.16,492.97,489.44,3.53,0.72,18503.64,910133.939
2017-08-31,494.04,494.88,489.8,491.15,492.97,-1.82,-0.37,18736.86,921659.704
2017-09-01,490.2,496.28,490.03,495.18,491.15,4.03,0.82,31451.0,1554634.575
2017-09-04,495.18,496.66,491.27,492.42,495.18,-2.76,-0.56,18931.62,932954.81
2017-09-05,492.88,493.99,489.5,489.99,492.42,-2.43,-0.49,22622.15,1112006.392
2017-09-06,490.0,492.77,484.84,484.98,489.99,-5.01,-1.02,33006.5,1608066.103
2017-09-07,485.31,486.9,480.06,481.27,484.98,-3.71,-0.77,33320.16,1605408.576
2017-09-08,478.25,480.5,474.0,474.37,481.27,-6.9,-1.43,41173.27,1962989.43
2017-09-11,471.09,482.22,469.98,478.32,474.37,3.95,0.83,45374.4,2161657.241
2017-09-12,479.5,486.0,478.4,484.91,478.32,6.59,1.38,34341.63,1661294.228
2017-09-13,485.0,492.2,481.38,491.63,484.91,6.72,1.39,33075.7,1618956.527
2017-09-14,492.99,494.03,488.99,490.71,491.63,-0.92,-0.19,19399.49,953145.166
2017-09-15,492.5,492.5,488.0,489.84,490.71,-0.87,-0.18,16039.46,786562.205
2017-09-18,490.14,500.5,490.14,498.97,489.84,9.13,1.86,42206.81,2101680.376
2017-09-19,500.3,502.5,496.01,496.95,498.97,-2.02,-0.4,23054.81,1151152.851
2017-09-20,496.9,500.02,496.0,496.2,496.95,-0.75,-0.15,17318.16,862024.944
2017-09-21,495.94,500.58,492.88,498.77,496.2,2.57,0.52,19402.68,963615.276
2017-09-22,496.9,500.18,495.8,499.93,498.77,1.16,0.23,16343.53,815718.865
2017-09-25,500.31,508.2,500.3,507.24,499.93,7.31,1.46,32697.56,1649582.919
2017-09-26,506.69,510.0,503.6,509.29,507.24,2.05,0.4,25470.49,1292872.632
2017-09-27,508.92,511.03,506.07,508.21,509.29,-1.08,-0.21,16671.11,847627.355
2017-09-28,507.2,520.2,507.15,518.46,508.21,10.25,2.02,25969.85,1340236.075
2017-09-29,516.0,525.88,515.5,517.64,518.46,-0.82,-0.16,22436.22,1166403.112
2017-10-09,524.54,535.55,520.1,527.77,517.64,10.13,1.96,34891.29,1844481.6
2017-10-10,527.05,540.49,527.01,540.06,527.77,12.29,2.33,31006.44,1662690.453
2017-10-11,538.1,551.25,538.1,545.54,540.06,5.48,1.01,33406.43,1824898.708
2017-10-12,545.0,547.5,540.18,544.09,545.54,-1.45,-0.27,19646.22,1067464.518
2017-10-13,545.0,556.6,542.01,556.15,544.09,12.06,2.22,27858.42,1534212.916
2017-10-16,559.99,566.66,555.87,560.69,556.15,4.54,0.82,29909.01,1676809.992
2017-10-17,560.97,560.97,554.0,556.73,560.69,-3.96,-0.71,20977.12,1168943.28
2017-10-18,554.2,562.59,554.2,560.72,556.73,3.99,0.72,19178.65,1072237.528
2017-10-19,561.0,585.15,560.72,582.6,560.72,21.88,3.9,40658.82,2338901.855
2017-10-20,581.0,581.0,571.76,574.33,582.6,-8.27,-1.42,31534.33,1812957.242
2017-10-23,574.92,580.5,568.0,573.41,574.33,-0.92,-0.16,23771.82,1362900.409
2017-10-24,572.0,573.8,563.61,567.33,573.41,-6.08,-1.06,31274.28,1775645.971
2017-10-25,569.75,571.68,562.06,565.67,567.33,-1.66,-0.29,25076.0,1418395.221
2017-10-26,605.0,613.0,591.91,605.09,565.67,39.42,6.97,115434.97,6957625.411
2017-10-27,602.11,655.0,600.03,649.63,605.09,44.54,7.36,84383.79,5284485.766
2017-10-30,643.05,644.0,621.0,622.08,649.63,-27.55,-4.24,81007.86,5099041.747
2017-10-31,622.01,627.6,611.88,618.03,622.08,-4.05,-0.65,51875.68,3206280.6
2017-11-01,620.88,631.54,619.22,623.01,618.03,4.98,0.81,43435.25,2712016.939
2017-11-02,626.95,629.78,621.0,626.92,623.01,3.91,0.63,34249.73,2144671.943
2017-11-03,628.65,643.44,628.65,639.17,626.92,12.25,1.95,48188.97,3075651.167
