trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2017-08-17,8.5,8.68,8.47,8.5,8.46,0.04,0.47,271360.58,231797.164
2017-08-18,8.41,8.5,8.38,8.45,8.5,-0.05,-0.59,190832.51,160981.816
2017-08-21,8.45,8.59,8.44,8.56,8.45,0.11,1.3,205897.41,175771.025
2017-08-22,8.54,8.63,8.44,8.49,8.56,-0.07,-0.82,232950.91,198539.657
2017-08-23,8.47,8.87,8.47,8.61,8.49,0.12,1.41,470125.39,409558.472
2017-08-24,8.55,8.6,8.48,8.53,8.61,-0.08,-0.93,286525.06,244638.12
2017-08-25,8.54,8.62,8.4,8.58,8.53,0.05,0.59,208695.32,178576.936
2017-08-28,8.58,8.68,8.52,8.64,8.58,0.06,0.7,273532.42,235678.428
2017-08-29,8.64,8.84,8.58,8.76,8.64,0.12,1.39,363763.49,318241.805
2017-08-30,8.77,8.77,8.6,8.65,8.76,-0.11,-1.26,331406.05,286651.364
2017-08-31,8.65,8.68,8.5,8.58,8.65,-0.07,-0.81,259611.44,222815.9
2017-09-01,8.55,8.67,8.51,8.59,8.58,0.01,0.12,293673.25,252144.18
2017-09-04,8.54,8.77,8.53,8.72,8.59,0.13,1.51,373405.44,325099.293
2017-09-05,8.7,8.88,8.57,8.82,8.72,0.1,1.15,579432.48,507833.837
2017-09-06,8.81,9.22,8.75,8.99,8.82,0.17,1.93,796992.14,717272.428
2017-09-07,9.0,9.16,8.88,8.97,8.99,-0.02,-0.22,593291.57,534799.57
2017-09-08,8.92,9.27,8.86,9.21,8.97,0.24,2.68,817669.96,747524.433
2017-09-11,9.22,9.64,9.16,9.49,9.21,0.28,3.04,1131820.29,1064646.259
2017-09-12,9.42,9.98,9.38,9.4,9.49,-0.09,-0.95,1451206.19,1406386.619
2017-09-13,9.5,9.9,9.32,9.65,9.4,0.25,2.66,1013576.31,976360.628
2017-09-14,9.68,9.8,9.37,9.41,9.65,-0.24,-2.49,945477.41,899362.499
2017-09-15,9.45,9.59,9.2,9.46,9.41,0.05,0.53,665770.44,624152.817
2017-09-18,9.44,9.8,9.42,9.64,9.46,0.18,1.9,804582.26,776974.387
2017-09-19,9.64,9.68,9.35,9.4,9.64,-0.24,-2.49,608888.43,577809.723
2017-09-20,9.42,9.62,9.28,9.5,9.4,0.1,1.06,559433.39,530157.133
2017-09-21,9.53,9.61,9.3,9.3,9.5,-0.2,-2.11,476121.83,449780.648
2017-09-22,9.27,9.35,9.04,9.12,9.3,-0.18,-1.94,469067.16,430646.945
2017-09-25,9.13,9.14,8.83,8.85,9.12,-0.27,-2.96,387339.19,348839.397
2017-09-26,8.88,9.04,8.88,8.95,8.85,0.1,1.13,273948.5,245091.805
2017-09-27,9.03,9.2,8.98,9.03,8.95,0.08,0.89,363866.73,330747.813
2017-09-28,9.0,9.16,8.97,8.99,9.03,-0.04,-0.44,305821.54,276431.933
2017-09-29,9.03,9.1,8.95,8.99,8.99,0.0,0.0,231593.54,208522.718
2017-10-09,9.12,9.28,9.05,9.18,8.99,0.19,2.11,390591.35,358681.885
2017-10-10,9.17,9.25,9.12,9.22,9.18,0.04,0.44,286033.31,263021.493
2017-10-11,9.19,9.2,8.92,8.98,9.22,-0.24,-2.6,360310.38,325548.734
2017-10-12,8.97,9.03,8.79,8.83,8.98,-0.15,-1.67,276498.99,245787.159
2017-10-13,8.84,9.0,8.84,8.91,8.83,0.08,0.91,163332.02,145907.94
2017-10-16,8.95,9.0,8.68,8.74,8.91,-0.17,-1.91,283683.29,249511.543
2017-10-17,8.76,8.76,8.6,8.61,8.74,-0.13,-1.49,210373.0,182171.237
2017-10-18,8.65,8.71,8.47,8.51,8.61,-0.1,-1.16,181325.55,156023.347
2017-10-19,8.53,8.59,8.25,8.31,8.51,-0.2,-2.35,246267.86,206262.78
2017-10-20,8.31,8.44,8.3,8.43,8.31,0.12,1.44,120758.42,101353.225
2017-10-23,8.44,8.59,8.43,8.51,8.43,0.08,0.95,136371.67,115991.338
2017-10-24,8.48,8.53,8.37,8.47,8.51,-0.04,-0.47,121774.33,102879.732
2017-10-25,8.48,8.54,8.44,8.52,8.47,0.05,0.59,120742.28,102497.988
2017-10-26,8.51,8.65,8.44,8.6,8.52,0.08,0.94,206105.84,176413.462
2017-10-27,8.6,8.6,8.39,8.43,8.6,-0.17,-1.98,185330.26,157149.112
2017-10-30,8.42,8.42,7.98,8.09,8.43,-0.34,-4.03,274241.47,222865.058
2017-10-31,8.09,8.19,8.05,8.15,8.09,0.06,0.74,151183.55,122969.606
2017-11-01,8.16,8.18,8.03,8.09,8.15,-0.06,-0.74,162215.73,131612.685
2017-11-02,8.05,8.06,7.92,7.96,8.09,-0.13,-1.61,180767.78,144183.441
2017-11-03,7.96,7.98,7.66,7.77,7.96,-0.19,-2.39,217027.34,169492.375
2017-11-06,7.77,7.86,7.73,7.83,7.77,0.06,0.77,118690.71,92664.645
2017-11-07,7.83,7.88,7.79,7.88,7.83,0.05,0.64,132937.28,104365.594
2017-11-08,7.89,8.11,7.8,8.04,7.88,0.16,2.03,240900.32,192920.468
2017-11-09,8.02,8.04,7.97,8.01,8.04,-0.03,-0.37,149299.73,119513.258
2017-11-10,8.01,8.1,8.01,8.05,8.01,0.04,0.5,143492.87,115469.69
