ts_code,forcast_close_line
000002.SZ,19.1492
000004.SZ,14.853999999999996
000005.SZ,1.988
000008.SZ,3.18374
000009.SZ,3.3748400000000003
000012.SZ,2.63718
000023.SZ,11.41014
000034.SZ,10.27075
000035.SZ,4.319
000040.SZ,4.63134
000042.SZ,8.406089999999999
000046.SZ,4.2692999999999985
000048.SZ,15.82
000060.SZ,3.05473
000062.SZ,9.527000000000001
000063.SZ,13.201999999999998
000078.SZ,3.1389400000000003
000100.SZ,2.07438
000157.SZ,2.78495
000158.SZ,4.48
000159.SZ,3.15812
000333.SZ,33.53259
000401.SZ,7.82838
000403.SZ,18.291
000407.SZ,2.8069999999999995
000408.SZ,6.51
000413.SZ,3.81703
000415.SZ,2.982
000419.SZ,3.556
000420.SZ,2.051
000425.SZ,2.8182
000426.SZ,3.99
000428.SZ,2.212
000429.SZ,4.817679999999998
000430.SZ,4.452
000488.SZ,4.60677
000498.SZ,3.528
000503.SZ,11.766999999999998
000509.SZ,2.226
000510.SZ,3.976
000516.SZ,4.168919999999999
000517.SZ,2.205
000518.SZ,2.9960000000000004
000525.SZ,8.33245
000534.SZ,8.16963
000538.SZ,57.715
000540.SZ,3.2816
000541.SZ,3.8869599999999997
000544.SZ,3.3675599999999997
000545.SZ,2.8629999999999995
000546.SZ,7.622719999999998
000547.SZ,6.9929999999999986
000555.SZ,9.356060000000001
000558.SZ,2.814
000560.SZ,4.1979000000000015
000564.SZ,2.023
000573.SZ,2.39925
000584.SZ,5.668740000000001
000585.SZ,1.4980000000000002
000586.SZ,6.376999999999999
000592.SZ,1.9180000000000001
000593.SZ,5.334
000597.SZ,9.127999999999998
000603.SZ,7.686
000605.SZ,6.8258399999999995
000605.SZ,6.8258399999999995
000606.SZ,5.292000000000001
000608.SZ,3.619
000609.SZ,3.85
000612.SZ,3.8360000000000003
000615.SZ,4.353999999999999
000620.SZ,3.67024
000623.SZ,13.317639999999999
000627.SZ,5.18
000632.SZ,3.094
000633.SZ,3.36
000639.SZ,4.15583
000652.SZ,2.66658
000656.SZ,5.2607800000000005
000661.SZ,123.28687
000665.SZ,3.7625
000667.SZ,1.981
000671.SZ,5.609380000000001
000672.SZ,8.995
000681.SZ,14.111999999999998
000683.SZ,2.1189
000686.SZ,7.059080000000001
000687.SZ,5.257000000000001
000688.SZ,8.03026
000690.SZ,5.47281
000691.SZ,2.891
000697.SZ,9.737
000700.SZ,2.45581
000703.SZ,10.18192
000707.SZ,2.135
000710.SZ,28.539
000712.SZ,9.653
000715.SZ,6.9379800000000005
000716.SZ,2.527
000718.SZ,2.46792
000720.SZ,2.625
000723.SZ,6.454
000732.SZ,6.00425
000735.SZ,5.155149999999999
000736.SZ,5.910729999999999
000739.SZ,4.63876
000761.SZ,2.78901
000762.SZ,5.152
000768.SZ,8.79683
000776.SZ,8.504999999999999
000782.SZ,3.0766400000000003
000783.SZ,5.292279999999999
000790.SZ,3.157
000792.SZ,4.571000000000001
000795.SZ,3.199
000796.SZ,4.431
000801.SZ,3.9621399999999993
000802.SZ,7.880319999999998
000809.SZ,1.9040000000000001
000810.SZ,4.794999999999999
000811.SZ,6.376019999999999
000812.SZ,2.716
000813.SZ,6.939379999999999
000819.SZ,7.805699999999999
000821.SZ,6.656999999999999
000823.SZ,5.20149
000826.SZ,8.5932
000829.SZ,4.172
000835.SZ,3.241
000838.SZ,2.7444900000000003
000839.SZ,2.765
000856.SZ,8.995
000861.SZ,1.81993
000863.SZ,3.20474
000881.SZ,4.865
000882.SZ,1.7919999999999998
000887.SZ,7.852249999999999
000889.SZ,7.942060000000001
000890.SZ,3.878
000893.SZ,5.082
000902.SZ,6.0918899999999985
000906.SZ,3.4755699999999994
000908.SZ,3.213
000910.SZ,9.15264
000912.SZ,3.15
